Ref,Building ID,Space ID,Room ID,Space name NL,Space name EN,Floor,Latitude,Longitude,Seats,Adjustable Chairs,Quietness,Light,Power outlets,Whiteboard,Presentation screen,Coffee machine distance,Printer distance,Bathroom distance
SSP00141,23 - Civiele Techniek en Geowetenschappen,23.00.01.770,HG 01.770,Studoc - with Computers,Studoc - with Computers,1e verdieping,51.998191,4.376007,42,42,stil,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00108,23 - Civiele Techniek en Geowetenschappen,23.00.02.240,HG 02.240,Study Area - Staircase B,Study Area - Staircase B,2e verdieping,51.999058,4.375404,10,10,rustig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP010,23 - Civiele Techniek en Geowetenschappen,23.00.02.500,HG 02.500,Study Area - Staircase B,Study Area - Staircase B,2e verdieping,51.998704,4.375644,8,0,rustig,kunstmatig licht,nee,nee,nee,nvt,0-50m,0-25m
SSP00099,23 - Civiele Techniek en Geowetenschappen,23.00.02.500,HG 02.500,Study Area - Staircase B,Study Area - Staircase B,2e verdieping,51.998704,4.375644,10,0,rustig,kunstmatig licht,nee,nee,nee,0-25m,0-50m,0-25m
SSP00109,23 - Civiele Techniek en Geowetenschappen,23.00.02.506,HG 02.506,Study Area - Staircase C,Study Area - Staircase C,2e verdieping,51.998704,4.375644,8,8,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00110,23 - Civiele Techniek en Geowetenschappen,23.00.02.707,HG 02.707,Study Area - Staircase D,Study Area - Staircase D,2e verdieping,51.998427,4.375832,14,0,rustig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
23SSP011,23 - Civiele Techniek en Geowetenschappen,23.00.02.945,HG 02.945,Study Area - Staircase E,Study Area - Staircase E,2e verdieping,51.998795,4.375579,8,0,rustig,daglicht,nee,nee,nee,nvt,0-50m,0-25m
SSP00112,23 - Civiele Techniek en Geowetenschappen,23.00.03.242,HG 03.242,Study Area - Staircase B,Study Area - Staircase B,3e verdieping,51.999208,4.375291,10,10,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
23SSP012,23 - Civiele Techniek en Geowetenschappen,23.00.03.262,HG 03.262,Study Area - Staircase A,Study Area - Staircase A,3e verdieping,51.998795,4.375579,8,0,rustig,daglicht,ja (<1 pp),nee,nee,nvt,0-50m,0-25m
SSP00113,23 - Civiele Techniek en Geowetenschappen,23.00.03.725,HG 03.725,Study Area - Staircase D,Study Area - Staircase D,3e verdieping,51.998427,4.375832,7,0,rustig,daglicht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00114,23 - Civiele Techniek en Geowetenschappen,23.00.03.904,HG 03.904,Study Area - Staircase E,Study Area - Staircase E,3e verdieping,51.997993,4.376141,10,10,rustig,daglicht,ja (>/= 1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00115,23 - Civiele Techniek en Geowetenschappen,23.00.04.262,HG 04.262,Study Area - Staircase A,Study Area - Staircase A,4e verdieping,51.999208,4.375291,8,0,rustig,kunstmatig licht,nee,nee,nee,0-25m,onbekend,0-25m
SSP00102,23 - Civiele Techniek en Geowetenschappen,23.00.04.905,HG 04.905,Study Area - Staircase E,Study Area - Staircase E,4e verdieping,51.998427,4.375832,8,8,rustig,kunstmatig licht,ja (<1 pp),nee,nee,0-25m,0-50m,0-25m
SSP00103,23 - Civiele Techniek en Geowetenschappen,23.00.06.135,HG 06.135,Study Area - Staircase D,Study Area - Staircase D,6e verdieping,51.998427,4.375832,12,0,rumoerig,daglicht,nee,nee,nee,0-25m,0-50m,0-25m
